網站,地區,標題,租金,坪數,樓層,格局,地址,電梯,車位,連結
591,北投區,朗居林映晨H24雲端,25000,15.4,16F/19F,,北投區-中央南路二段,有,,https://rent.591.com.tw/21444784
591,北投區,復興崗站對面一樓,25000,10,1F/4F,,北投區-中央北路三段,,,https://rent.591.com.tw/21412555
591,北投區,北投站可租補可戶籍採光,28000,37.7,5F/5F,,北投區-中和街493巷1弄,,,https://rent.591.com.tw/21573461
591,北投區,凌群可租補免服務費近北投站,28000,37.7,5F/5F,,北投區-中和街493巷,,,https://rent.591.com.tw/21545669
591,北投區,大四房租金補貼採光良,28000,37.7,5F/5F,,北投區-中和街493巷1弄,,,https://rent.591.com.tw/21496581
591,北投區,可申請租屋補助中和街美寓大四房,28000,37.7,5F/5F,,北投區-中和街493巷1弄,,,https://rent.591.com.tw/21493536
591,北投區,近國防大學空間大採光,28000,37.7,5F/5F,,北投區-中和街493巷1弄,,,https://rent.591.com.tw/21480568
591,北投區,2樓辦公室工作室出租無電梯,28000,21.1,2F/3F,,北投區-中央南路一段181號,,,https://rent.591.com.tw/21448669
591,北投區,北投中和街公寓可租屋補助,28000,37.7,5F/5F,,北投區-中和街493巷,,,https://rent.591.com.tw/21445950
591,北投區,店住辦捷運關渡站整層OPEN,30000,32,2F/2F,,北投區-知行路,,,https://rent.591.com.tw/21475103
信義,北投區,石牌近捷運溫馨套房,15000,5.00,3/4,,北投區西安街一段,,,https://www.sinyi.com.tw/rent/houseno/C348139
信義,北投區,北投一樓套房,16000,5.00,1/4,,北投區吉利街,,,https://www.sinyi.com.tw/rent/houseno/C359503
信義,北投區,西安街套房508,16000,10.00,5/6,,北投區西安街二段,,,https://www.sinyi.com.tw/rent/houseno/C302254
信義,北投區,明德捷運裝潢套房,16500,6.00,3/3,1房1廳1衛,北投區文林北路,,,https://www.sinyi.com.tw/rent/houseno/C905072
信義,北投區,溫泉美景雅緻套房,20000,10.43,7/7,1房1廳1衛,北投區泉源路,,,https://www.sinyi.com.tw/rent/houseno/C354660
信義,北投區,重劃奇岩路漂亮2房,22000,16.34,-1/5,2房1廳1衛,北投區奇岩路,,,https://www.sinyi.com.tw/rent/houseno/C340300
信義,北投區,近捷運市場公園地點便利,22000,17.55,,2房1廳1衛,北投區新市街,,,https://www.sinyi.com.tw/rent/houseno/C356084
